source,target,weight
1777,pam,1
1779,pam,3
1780,pam,2
1781,pam,2
1786,pam,3
1816,PressupostosParticipatius,1
1816,pam,2
1822,pam,1
1824,pam,1
1831,pam,2
1839,pgmaritimmarbella,1
1841,pam,1
1844,PressupostosParticipatius,1
1844,pam,1
1849,pam,4
1853,pam,1
1887,pam,1
1889,pam,1
1890,pam,2
1902,pam,1
1903,pam,5
1905,pam,9
1911,pam,10
1916,pam,4
1923,pam,1
1925,PressupostosParticipatius,1
1925,pam,12
1925,vialaietana,2
1932,pam,4
1932,xarxabus,1
1934,plaequipamentssantscentre,1
1935,pam,4
1941,pam,7
1949,pam,2
1968,pam,1
1970,pam,32
1975,PressupostosParticipatius,1
1977,pam,7
1982,pam,1
1983,pam,4
1984,meridiana,11
1985,pam,1
1986,pam,6
1987,pam,1
1988,PressupostosParticipatius,1
1990,pam,2
1993,pam,1
1995,pam,2
2005,pam,1
2006,PAM2020,1
2006,pam,6
2007,pam,18
2008,pam,1
2019,pam,1
2026,pam,1
2028,pam,1
2031,pam,1
2032,pam,1
2039,PressupostosParticipatius,5
2042,pam,2
2044,pam,1
2046,pam,1
2048,pam,4
2049,pam,3
2051,pam,2
2052,pam,8
2061,PressupostosParticipatius,1
2062,pam,1
2067,pam,1
2072,pam,34
2073,pam,1
2075,pam,1
2076,pam,1
2078,pam,1
2081,PressupostosParticipatius,1
2089,pam,3
2095,pam,1
2100,pam,1
2109,pam,1
2111,PressupostosParticipatius,1
2116,pam,1
2127,PAM2020,7
2127,pam,2
2131,meridiana,1
2131,pam,5
2131,xarxabus,4
2135,pam,2
2136,pam,1
2138,pam,1
2152,pam,1
2162,pam,6
2166,pam,1
2177,pam,1
2178,pam,1
2183,pam,2
2187,pam,4
2192,PAM2020,2
2193,pam,1
2196,pam,9
2201,pam,2
2208,pam,9
2232,pam,2
2237,pam,1
2241,pam,2
2243,pam,1
2244,pam,2
2246,pam,1
2255,pam,1
2269,pam,3
2271,PressupostosParticipatius,1
2274,pam,2
2284,pam,1
2286,pam,4
2294,pam,2
2299,pam,9
2313,pam,1
2316,pam,2
2322,plamobilitatBCN,1
2333,pam,1
2334,pam,2
2335,pam,2
2348,pam,1
2350,pam,3
2352,Premi8M,3
2359,pam,1
2361,pam,1
2364,pam,4
2380,pam,2
2381,plamobilitatBCN,1
2382,entornsestaciodesants,1
2382,pam,3
2383,PAM2020,1
2389,pam,1
2399,pam,5
2400,PAM2020,28
2400,pam,31
2416,PressupostosParticipatius,1
2416,pam,3
2423,pam,6
2424,pam,1
2426,pam,4
2431,pam,4
2444,pam,1
2448,pam,4
2449,pam,1
2455,pam,1
2465,lesrambles,1
2465,meridiana,5
2465,pam,2
2465,xarxabus,1
2476,pam,3
2480,pam,7
2481,PressupostosParticipatius,1
2484,mobilitatcv,3
2484,pam,45
2486,PressupostosParticipatius,1
2491,PressupostosParticipatius,2
2491,pam,2
2496,pam,9
2499,pam,1
2504,PressupostosParticipatius,1
2507,pam,1
2508,PressupostosParticipatius,1
2511,pam,3
2530,pam,1
2541,pam,1
2562,pam,1
2568,PAM2020,2
2569,pam,1
2575,pam,1
2576,PAM2020,1
2576,pam,1
2578,pam,2
2579,pam,1
2585,pam,4
2587,pam,1
2593,pam,10
2595,pam,1
2609,pam,1
2613,pam,3
2614,MercedesBenzBonPastor,1
2621,baixesemissions,2
2621,pam,1
2627,pam,1
2641,pam,2
2645,pam,2
2647,PAM2020,1
2647,PressupostosParticipatius,3
2647,xarxabus,2
2650,pam,1
2652,pam,1
2654,pam,2
2660,PAM2020,2
2663,entornsestaciodesants,1
2669,ZonaNord,2
2675,pam,3
2677,pam,1
2692,pam,1
2694,pam,3
2696,pam,2
2704,PressupostosParticipatius,3
2704,pam,3
2717,Poblesec,4
2717,pam,1
2717,plaequipamentspoblesec,1
2718,PressupostosParticipatius,3
2718,pam,5
2722,PAM2020,1
2727,pam,2
2728,pam,1
2737,pam,1
2740,pam,1
2750,PressupostosParticipatius,14
2750,ordenancaconvivencia,4
2750,pam,12
2751,pam,3
2761,pam,3
2765,pam,1
2772,pam,4
2774,pam,12
2774,plapoudelafiguera,1
2776,pam,1
2777,pam,1
2788,pam,1
2789,pam,1
2797,pam,2
2799,pam,2
2818,pam,1
2840,PressupostosParticipatius,1
2846,pam,1
2848,pam,3
2849,pam,1
2867,pam,4
2870,pam,15
2871,pam,3
2871,xarxabus,2
2874,pam,2
2881,PAM2020,4
2881,PressupostosParticipatius,10
2881,pam,2
2881,plausosciutatvella,2
2889,plausosciutatvella,1
2890,pam,1
2894,PressupostosParticipatius,1
2895,pam,4
2901,pam,1
2906,pam,1
2915,pam,3
2943,pam,3
2943,plaequipamentspoblesec,1
2946,pam,1
2951,plaequipamentspoblesec,2
2954,pam,1
2958,pam,1
2960,pam,1
2961,xarxabus,1
2962,PAM2020,7
2962,PressupostosParticipatius,4
2962,SuperillaBarcelona,1
2962,pam,7
2964,Poblesec,1
2965,pam,1
