id,Label,modularity_class_str,modularity_class,frecuency
7471,,B,12,1
14023,,B,12,5
993,,B,12,6
889,,B,12,97
2569,,B,12,1
3471,,B,12,1
3469,,B,12,1
2994,,B,12,1
3551,,A,14,28
3563,,B,12,2
3554,,B,12,16
3575,,B,12,1
3354,,B,12,3
3605,,B,12,1
3592,,B,12,1
3656,,B,12,1
3662,,B,12,1
3716,,B,12,1
22293,,B,12,1
3729,,B,12,1
3740,,B,12,1
3751,,B,12,1
1042,,B,12,2
2652,,B,12,1
3264,,B,12,2
3784,,B,12,1
272,,B,12,2
2316,,B,12,2
3797,,C,7,5
4151,,B,12,1
11787,,B,12,1
3782,,B,12,1
3812,,B,12,7
3815,,B,12,1
115,,B,12,5
9451,,B,12,4
3823,,B,12,1
3829,,B,12,1
3833,,B,12,1
3841,,B,12,1
4871,,B,12,13
3825,,B,12,1
3850,,B,12,1
3890,,B,12,1
3879,,B,12,2
3900,,B,12,1
3857,,B,12,2
3920,,B,12,1
3938,,B,12,1
3123,,B,12,1
3946,,B,12,2
3939,,B,12,1
3983,,B,12,1
3996,,B,12,1
3998,,B,12,3
4007,,B,12,1
4016,,B,12,1
398,,B,12,5
19808,,B,12,2
4048,,B,12,1
4036,,B,12,2
4068,,B,12,3
4075,,B,12,2
4057,,B,12,2
622,,B,12,2
4095,,B,12,1
3436,,B,12,1
4092,,B,12,1
436,,B,12,1
4110,,B,12,2
4111,,B,12,1
4102,,B,12,2
3970,,B,12,4
4121,,B,12,1
5429,,B,12,1
4133,,B,12,1
4123,,B,12,3
198,,B,12,1
15833,,B,12,5
4138,,B,12,1
2455,,B,12,1
4157,,B,12,1
4189,,B,12,1
4209,,B,12,1
4224,,A,14,2
4238,,B,12,1
4131,,B,12,2
4232,,B,12,1
4172,,B,12,1
303,,B,12,2
4255,,B,12,1
4261,,B,12,1
4265,,B,12,1
2028,,B,12,1
3588,,B,12,9
769,,B,12,6
4462,,B,12,1
1262,,B,12,4
4448,,B,12,1
4288,,B,12,2
2737,,B,12,1
3854,,B,12,1
6762,,B,12,14
4329,,B,12,1
2032,,B,12,1
4370,,A,14,2
5313,,B,12,3
4394,,B,12,1
4409,,B,12,1
4422,,B,12,4
4429,,B,12,1
4440,,B,12,1
4464,,B,12,9
11900,,B,12,4
2575,,B,12,1
4449,,B,12,1
4353,,B,12,1
4497,,B,12,1
761,,A,14,50
4516,,B,12,1
4521,,B,12,1
4507,,B,12,2
4509,,B,12,1
4554,,B,12,3
4517,,B,12,1
4561,,B,12,3
4557,,B,12,6
4581,,B,12,1
4591,,B,12,3
9188,,B,12,2
4479,,B,12,1
4645,,B,12,1
4652,,B,12,5
4657,,B,12,1
4659,,A,14,6
4701,,B,12,1
4717,,B,12,1
4734,,B,12,1
4413,,B,12,2
12688,,B,12,36
4741,,B,12,2
2587,,B,12,1
4776,,B,12,1
4453,,B,12,2
4756,,B,12,1
4779,,B,12,1
4398,,B,12,1
4620,,B,12,4
4804,,B,12,3
6604,,B,12,4
4268,,A,14,2
4827,,B,12,1
4848,,B,12,1
4828,,B,12,1
4846,,B,12,1
4856,,B,12,1
266,,A,14,6
5427,,B,12,5
2449,,B,12,1
340,,A,14,28
